230;"DOLCIFICANTE ASPARTAME";0,00;97,50;0,00;0,00;0,00;400,00
231;"DOLCIFICANTE FRUTTOSIO";0,00;99,50;0,00;0,00;0,00;400,00
232;"DOLCIFICANTE SACCARINA";0,00;0,00;0,00;0,00;0,00;0,00
233;"EDAM STAGIONATO";29,00;1,00;25,00;102,00;0,00;345,00
234;"EDAM, FRESCO";26,00;1,00;22,00;102,00;0,00;306,00
235;"EMMENTHAL";28,50;3,60;30,60;100,00;0,00;403,00
236;"ERBA CIPOLLINA, fresca";2,80;1,70;0,60;0,00;1,90;23,00
237;"ESTRATTO DI CARNE BOVINA";54,00;0,00;0,40;2,00;0,90;219,00
238;"FAGIANO";24,30;0,00;5,20;71,00;0,00;144,00
239;"FAGIOLI";6,40;19,40;0,60;0,00;10,60;104,00
240;"FAGIOLI ADUKI, secchi";19,90;50,10;0,50;0,00;11,10;272,00
241;"FAGIOLI IN SCATOLA";4,10;6,30;0,50;0,00;6,80;43,00
242;"FAGIOLI MUNG, secchi";23,90;46,30;1,10;0,00;13,90;279,00
243;"FAGIOLI, secchi";23,60;51,70;2,50;0,00;17,00;311,00
244;"FAGIOLINI";2,10;2,40;0,10;0,00;2,90;17,00
245;"FAGIOLINI IN SCATOLA";1,50;4,10;0,10;0,00;2,60;22,00
246;"FARAONA";23,40;0,00;6,50;74,00;0,00;158,00
247;"FARAONA, COSCIA";24,30;0,20;1,80;70,00;0,00;114,00
248;"FARAONA, PETTO";25,10;0,00;0,70;57,00;0,00;107,00
249;"FARINA DI AVENA";12,60;72,90;7,10;0,00;7,60;388,00
250;"FARINA DI CASTAGNE";5,80;71,60;3,70;0,00;10,90;323,00
251;"FARINA DI CECI";21,80;54,30;4,90;0,00;13,80;334,00
252;"FARINA DI COCCO";5,60;6,40;62,00;0,00;21,10;604,00
253;"FARINA DI FRUMENTO, INTEGRALE";11,90;68,40;1,90;0,00;9,60;321,00
254;"FARINA DI FRUMENTO, TIPO 0";11,50;76,90;1,00;0,00;3,50;343,00
255;"FARINA DI FRUMENTO, TIPO 00";11,00;78,00;0,70;0,00;2,50;343,00
256;"FARINA DI GRANO DURO";12,60;61,10;2,80;0,00;3,50;304,00
257;"FARINA DI GRANO SARACENO";8,10;84,90;1,50;0,00;2,10;364,00
258;"FARINA DI MAIS";8,70;81,50;2,70;0,00;2,60;365,00
259;"FARINA DI ORZO";10,60;80,00;1,90;0,00;14,80;360,00
260;"FARINA DI RISO";7,30;87,80;0,50;0,00;0,70;363,00
261;"FARINA DI SEGALE, integrale";8,20;75,90;2,00;0,00;11,70;335,00
262;"FARINA DI SEGALE, semi-integrale";8,30;67,80;1,30;0,00;8,00;316,00
263;"FARINA DI SOIA, a basso contenuto lipidico";45,30;28,20;7,20;0,00;13,30;352,00
264;"FARINA DI SOIA, intera";36,80;23,50;23,50;0,00;10,70;447,00
265;"FARINA LATTEA";13,20;81,50;6,30;-3,00;0,00;415,00
266;"FAVE";5,40;4,20;0,20;0,00;5,10;37,00
267;"FAVE SECCHE";27,20;55,30;3,00;0,00;7,00;342,00
268;"FETA";15,60;1,50;20,20;70,00;0,00;250,00
269;"FETTE BISCOTTATE";11,30;83,00;6,00;4,00;3,50;410,00
270;"FETTE BISCOTTATE, DOLCI";10,50;81,60;6,20;0,00;3,50;404,00
271;"FETTE BISCOTTATE, INTEGRALI";11,20;74,10;5,20;0,00;11,00;365,00
272;"FETTE BISCOTTATE, VITAMINIZZATE";11,30;83,00;6,00;4,00;3,50;410,00
273;"FETTE DI SEGALE INTEGRALI";7,90;65,70;1,30;0,00;16,50;366,00
274;"FICHI";0,90;11,20;0,20;0,00;2,00;47,00
275;"FICHI D'INDIA";0,80;13,00;0,10;0,00;5,00;53,00
276;"FICHI SECCATI AL FORNO E MANDORLATI";5,20;58,20;4,20;0,00;10,40;277,00
277;"FICHI SECCATI AL SOLE";3,60;52,90;2,10;0,00;18,50;232,00
278;"FICHI SECCHI";3,50;58,00;2,70;0,00;10,40;242,00
279;"FINOCCHIO";1,20;1,00;0,00;0,00;2,20;9,00
280;"FINOCCHIO, SEMI";15,80;12,50;14,90;0,00;39,80;345,00
281;"FIOCCHI DI AVENA";8,00;73,50;7,50;0,00;8,30;395,00
282;"FIOCCHI DI CRUSCA DI GRANO";10,20;69,70;1,90;0,00;17,30;319,00
283;"FIOCCHI DI LATTE MAGRO";11,70;2,60;5,30;13,00;0,00;102,00
284;"FIOCCHI DI MAIS (CORNFLAKES)";6,60;88,10;0,80;0,00;3,80;364,00
285;"FIOCCHI DI RISO";6,60;77,50;1,20;0,00;2,20;346,00
286;"FIOCCHI D'ORZO";10,60;80,00;1,90;0,00;14,80;360,00
287;"FIOR DI LATTE";20,60;-2,00;20,30;90,00;0,00;265,00
288;"FIORI DI ZUCCA";1,70;0,50;0,40;0,00;0,50;12,00
289;"FOCACCIA";8,40;40,70;11,80;0,00;4,90;292,00
290;"FOGLIE DI RAPA";2,60;2,80;0,10;0,00;2,40;22,00
291;"FONTINA";24,50;0,80;26,90;80,00;0,00;343,00
292;"FORMAGGINO";11,20;6,00;26,90;93,00;0,00;309,00
293;"FORMAGGINO, a basso tenore di lipidi";14,70;6,50;17,30;64,00;0,00;239,00
294;"FORMAGGIO AL GORGONZOLA E AL MASCARPONE";13,50;0,10;39,10;91,00;0,00;406,00
295;"FORMAGGIO SPALMABILE (tipo Philadelphia)";8,60;-2,00;31,00;90,00;0,00;313,00
296;"FRAGOLE";0,90;5,30;0,40;0,00;1,60;27,00
297;"FRUMENTO DURO";13,00;63,00;2,90;0,00;12,60;314,00
298;"FRUMENTO TENERO";12,30;65,80;2,60;0,00;1,70;319,00
299;"FUNGHI CHIODINI";2,10;0,10;0,70;0,00;6,80;15,00
300;"FUNGHI GALLINACCI";1,60;0,20;0,50;0,00;4,70;11,00
301;"FUNGHI GALLINACCI, secchi";16,50;1,80;2,20;0,00;60,50;93,00
302;"FUNGHI IN SCATOLA";3,00;3,00;0,40;0,00;2,40;27,00
303;"FUNGHI OVULI";2,00;1,90;0,30;0,00;1,70;18,00
304;"FUNGHI PORCINELLI";3,10;1,60;0,60;0,00;6,50;24,00
305;"FUNGHI PORCINI";3,90;1,40;0,70;0,00;2,50;27,00
306;"FUNGHI PRATAIOLI, COLTIVATI";2,30;1,90;0,40;0,00;1,70;20,00
307;"FUNGHI SECCHI";40,60;15,60;4,60;0,00;10,00;147,00
308;"FUNGHI SHIITAKE, secchi";16,30;63,90;1,00;0,00;11,50;296,00
309;"FUNGHI SOTT'OLIO";3,30;-2,00;3,90;0,00;1,60;48,00
310;"FUNGHI SPUGNOLI";1,70;1,90;0,30;0,00;7,00;17,00
311;"GALLINA";20,90;0,20;12,30;89,00;0,00;195,00
312;"GAMBERETTI DI LAGO";17,10;0,00;4,10;105,00;0,00;105,00
313;"GAMBERETTI SURGELATI";13,60;-2,00;1,00;178,00;0,00;63,00
314;"GAMBERO";13,60;2,90;0,60;150,00;0,00;71,00
315;"GELATINA ALIMENTARE, secca";88,30;0,00;0,10;0,00;0,00;354,00
316;"GELATO AL CIOCCOLATO";3,80;27,00;11,00;34,00;1,20;216,00
317;"GELATO ALLA FRUTTA";3,50;24,70;8,00;26,00;0,00;179,00
318;"GELATO FIOR DI LATTE";4,20;20,70;13,70;40,00;0,00;218,00
319;"GERME DI GRANO";28,00;55,00;10,00;0,00;15,60;416,00
320;"GERMOGLI DI ERBA MEDICA";4,00;0,40;0,70;0,00;1,70;24,00
321;"GHIACCIOLO ALL'ARANCIO";0,00;36,50;0,00;0,00;0,00;137,00
322;"GIARDINIERA SOTT'ACETO";0,40;0,60;0,30;0,00;1,80;7,00
323;"GIARDINIERA SOTT'OLIO";2,60;1,30;4,80;0,00;2,50;58,00
324;"GIRASOLE, SEMI";19,80;18,60;47,50;0,00;6,20;581,00
325;"GOMME DA MASTICARE";0,00;96,70;0,30;0,00;0,00;341,00
